"Neighborhood","TotalUnits","LandSqFt","GrossSqFt","YearBuilt","TaxClass","SalePrice"
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",155000
"INWOOD                   ",0,0,0,1952,"Class 2",155000
"INWOOD                   ",0,0,0,1941,"Class 2",155000
"LOWER EAST SIDE          ",1,0,0,1912,"Class 4",155000
"MIDTOWN CBD              ",1,0,0,1903,"Class 4",155000
"MURRAY HILL              ",1,0,0,0,"Class 2",155000
"UPPER EAST SIDE (79-96)  ",0,0,0,1917,"Class 2",155000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",157000
"HARLEM-CENTRAL           ",0,0,0,1930,"Class 2",157500
"WASHINGTON HEIGHTS LOWER ",0,0,0,1909,"Class 2",158000
"HARLEM-CENTRAL           ",0,0,0,1940,"Class 2",160000
"HARLEM-WEST              ",0,0,0,1926,"Class 2",160000
"INWOOD                   ",0,0,0,1956,"Class 2",160000
"INWOOD                   ",0,0,0,1953,"Class 2",160000
"KIPS BAY                 ",0,0,0,1920,"Class 2",160000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",160000
"CLINTON                  ",0,0,0,1900,"Class 2",162280
"INWOOD                   ",0,0,0,1952,"Class 2",163000
"MIDTOWN EAST             ",0,0,0,1974,"Class 2",163051
"INWOOD                   ",0,0,0,1966,"Class 2",163500
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",163850
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",164700
"ALPHABET CITY            ",0,0,0,1900,"Class 2",165000
"HARLEM-EAST              ",0,0,0,2005,"Class 2",165000
"HARLEM-UPPER             ",0,0,0,1920,"Class 2",165000
"INWOOD                   ",0,0,0,1951,"Class 2",165000
"INWOOD                   ",0,0,0,1966,"Class 2",165000
"MIDTOWN CBD              ",1,0,0,1903,"Class 4",165000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1910,"Class 2",165000
"INWOOD                   ",0,0,0,1937,"Class 2",165250
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",165438
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",165438
"INWOOD                   ",0,0,0,1956,"Class 2",166000
"MIDTOWN WEST             ",1,0,0,0,"Class 4",166932
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",167000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",167153
"INWOOD                   ",0,0,0,1925,"Class 2",168000
"MIDTOWN WEST             ",1,0,0,1963,"Class 4",168567
"HARLEM-CENTRAL           ",0,0,0,1930,"Class 2",169000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1912,"Class 2",169000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",170000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",170000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",170000
"UPPER WEST SIDE (79-96)  ",1,0,0,0,"Class 2",170000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1921,"Class 2",170000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1941,"Class 2",170000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",170295
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",170810
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",171467
"MIDTOWN WEST             ",1,0,0,0,"Class 4",171945
"HARLEM-CENTRAL           ",1,0,0,0,"Class 2",172713
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",173000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",174061
"HARLEM-UPPER             ",0,0,0,1910,"Class 2",174500
"ALPHABET CITY            ",0,0,0,1920,"Class 2",175000
"HARLEM-UPPER             ",1,0,0,1920,"Class 2",175000
"HARLEM-WEST              ",0,0,0,1910,"Class 2",175000
"MIDTOWN WEST             ",0,0,0,1924,"Class 2",175000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",175602
"HARLEM-CENTRAL           ",0,0,0,1912,"Class 2",175700
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",177450
"UPPER EAST SIDE (79-96)  ",0,0,0,1910,"Class 2",177500
"HARLEM-CENTRAL           ",0,0,0,1913,"Class 2",178000
"HARLEM-CENTRAL           ",0,0,0,1913,"Class 2",178000
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",178193
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",179000
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",179000
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",179000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1939,"Class 2",179500
"MANHATTAN VALLEY         ",0,0,0,1920,"Class 2",180000
"UPPER EAST SIDE (79-96)  ",0,0,0,1942,"Class 2",180000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1920,"Class 2",180000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",181260
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",181260
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",182000
"UPPER EAST SIDE (79-96)  ",0,0,0,1920,"Class 2",183000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",184000
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",185000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1925,"Class 2",185000
"INWOOD                   ",0,0,0,1937,"Class 2",185749
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",187268
"UPPER WEST SIDE (96-116) ",1,0,0,1925,"Class 2",187493
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",187500
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",188376
